100,1,{(-1.72;1.2);(1;-1.2)},1749
100,1,{(-0.7;0);(0.3;-1)},1600
100,1,{(-0.4;-0.5);(0.1;-1)},1551
100,1,{(-0.4;-0.6);(-0.2;-0.8)},1580
100,1,{(-0.24;-0.64);(-0.26;-0.66)},1568
100,10,{(-1.72;1.2);(1;-1.2)},2058
100,10,{(-0.7;0);(0.3;-1)},2286
100,10,{(-0.4;-0.5);(0.1;-1)},2273
100,10,{(-0.4;-0.6);(-0.2;-0.8)},2295
100,10,{(-0.24;-0.64);(-0.26;-0.66)},2323
100,30,{(-1.72;1.2);(1;-1.2)},2468
100,30,{(-0.7;0);(0.3;-1)},3332
100,30,{(-0.4;-0.5);(0.1;-1)},3176
100,30,{(-0.4;-0.6);(-0.2;-0.8)},3102
100,30,{(-0.24;-0.64);(-0.26;-0.66)},3695
100,80,{(-1.72;1.2);(1;-1.2)},3681
100,80,{(-0.7;0);(0.3;-1)},5586
100,80,{(-0.4;-0.5);(0.1;-1)},4965
100,80,{(-0.4;-0.6);(-0.2;-0.8)},4396
100,80,{(-0.24;-0.64);(-0.26;-0.66)},5988
100,150,{(-1.72;1.2);(1;-1.2)},5663
100,150,{(-0.7;0);(0.3;-1)},10556
100,150,{(-0.4;-0.5);(0.1;-1)},7222
100,150,{(-0.4;-0.6);(-0.2;-0.8)},5530
100,150,{(-0.24;-0.64);(-0.26;-0.66)},7951
100,250,{(-1.72;1.2);(1;-1.2)},6465
100,250,{(-0.7;0);(0.3;-1)},13636
100,250,{(-0.4;-0.5);(0.1;-1)},9715
100,250,{(-0.4;-0.6);(-0.2;-0.8)},7268
100,250,{(-0.24;-0.64);(-0.26;-0.66)},9255
100,500,{(-1.72;1.2);(1;-1.2)},10840
100,500,{(-0.7;0);(0.3;-1)},24388
100,500,{(-0.4;-0.5);(0.1;-1)},19197
100,500,{(-0.4;-0.6);(-0.2;-0.8)},12712
100,500,{(-0.24;-0.64);(-0.26;-0.66)},12024
100,1000,{(-1.72;1.2);(1;-1.2)},19678
100,1000,{(-0.7;0);(0.3;-1)},46444
