100,1,{(-1.72;1.2);(1;-1.2)},212
100,1,{(-1.72;1.2);(1;-1.2)},202
100,1,{(-1.72;1.2);(1;-1.2)},200
100,1,{(-1.72;1.2);(1;-1.2)},199
100,1,{(-0.7;0);(0.3;-1)},200
100,1,{(-0.7;0);(0.3;-1)},199
100,1,{(-0.7;0);(0.3;-1)},200
100,1,{(-0.7;0);(0.3;-1)},200
100,1,{(-0.4;-0.5);(0.1;-1)},199
100,1,{(-0.4;-0.5);(0.1;-1)},199
100,1,{(-0.4;-0.5);(0.1;-1)},199
100,1,{(-0.4;-0.5);(0.1;-1)},199
100,1,{(-0.4;-0.6);(-0.2;-0.8)},199
100,1,{(-0.4;-0.6);(-0.2;-0.8)},199
100,1,{(-0.4;-0.6);(-0.2;-0.8)},199
100,1,{(-0.4;-0.6);(-0.2;-0.8)},199
100,1,{(-0.24;-0.64);(-0.26;-0.66)},199
100,1,{(-0.24;-0.64);(-0.26;-0.66)},199
100,1,{(-0.24;-0.64);(-0.26;-0.66)},199
100,1,{(-0.24;-0.64);(-0.26;-0.66)},199
100,10,{(-1.72;1.2);(1;-1.2)},867
100,10,{(-1.72;1.2);(1;-1.2)},715
100,10,{(-1.72;1.2);(1;-1.2)},713
100,10,{(-1.72;1.2);(1;-1.2)},716
100,10,{(-0.7;0);(0.3;-1)},991
100,10,{(-0.7;0);(0.3;-1)},933
100,10,{(-0.7;0);(0.3;-1)},850
100,10,{(-0.7;0);(0.3;-1)},853
100,10,{(-0.4;-0.5);(0.1;-1)},867
100,10,{(-0.4;-0.5);(0.1;-1)},870
100,10,{(-0.4;-0.5);(0.1;-1)},869
100,10,{(-0.4;-0.5);(0.1;-1)},867
100,10,{(-0.4;-0.6);(-0.2;-0.8)},892
100,10,{(-0.4;-0.6);(-0.2;-0.8)},886
100,10,{(-0.4;-0.6);(-0.2;-0.8)},872
100,10,{(-0.4;-0.6);(-0.2;-0.8)},934
100,10,{(-0.24;-0.64);(-0.26;-0.66)},903
100,10,{(-0.24;-0.64);(-0.26;-0.66)},943
100,10,{(-0.24;-0.64);(-0.26;-0.66)},972
100,10,{(-0.24;-0.64);(-0.26;-0.66)},912
100,30,{(-1.72;1.2);(1;-1.2)},1079
100,30,{(-1.72;1.2);(1;-1.2)},1080
100,30,{(-1.72;1.2);(1;-1.2)},1087
100,30,{(-1.72;1.2);(1;-1.2)},1079
100,30,{(-0.7;0);(0.3;-1)},1919
100,30,{(-0.7;0);(0.3;-1)},1940
100,30,{(-0.7;0);(0.3;-1)},1920
100,30,{(-0.7;0);(0.3;-1)},1922
100,30,{(-0.4;-0.5);(0.1;-1)},1741
100,30,{(-0.4;-0.5);(0.1;-1)},1809
100,30,{(-0.4;-0.5);(0.1;-1)},1743
100,30,{(-0.4;-0.5);(0.1;-1)},1749
100,30,{(-0.4;-0.6);(-0.2;-0.8)},1687
100,30,{(-0.4;-0.6);(-0.2;-0.8)},1652
100,30,{(-0.4;-0.6);(-0.2;-0.8)},1669
100,30,{(-0.4;-0.6);(-0.2;-0.8)},1667
100,30,{(-0.24;-0.64);(-0.26;-0.66)},2299
100,30,{(-0.24;-0.64);(-0.26;-0.66)},2287
100,30,{(-0.24;-0.64);(-0.26;-0.66)},2285
100,30,{(-0.24;-0.64);(-0.26;-0.66)},2285
100,80,{(-1.72;1.2);(1;-1.2)},2014
100,80,{(-1.72;1.2);(1;-1.2)},2072
100,80,{(-1.72;1.2);(1;-1.2)},2015
100,80,{(-1.72;1.2);(1;-1.2)},1984
100,80,{(-0.7;0);(0.3;-1)},4214
100,80,{(-0.7;0);(0.3;-1)},4137
100,80,{(-0.7;0);(0.3;-1)},4240
100,80,{(-0.7;0);(0.3;-1)},4238
100,80,{(-0.4;-0.5);(0.1;-1)},3268
100,80,{(-0.4;-0.5);(0.1;-1)},3256
100,80,{(-0.4;-0.5);(0.1;-1)},3431
100,80,{(-0.4;-0.5);(0.1;-1)},3323
100,80,{(-0.4;-0.6);(-0.2;-0.8)},2852
100,80,{(-0.4;-0.6);(-0.2;-0.8)},2785
100,80,{(-0.4;-0.6);(-0.2;-0.8)},2807
100,80,{(-0.4;-0.6);(-0.2;-0.8)},2800
100,80,{(-0.24;-0.64);(-0.26;-0.66)},4514
100,80,{(-0.24;-0.64);(-0.26;-0.66)},4457
100,80,{(-0.24;-0.64);(-0.26;-0.66)},4486
100,80,{(-0.24;-0.64);(-0.26;-0.66)},4463
100,150,{(-1.72;1.2);(1;-1.2)},3160
100,150,{(-1.72;1.2);(1;-1.2)},3183
100,150,{(-1.72;1.2);(1;-1.2)},3139
100,150,{(-1.72;1.2);(1;-1.2)},3094
100,150,{(-0.7;0);(0.3;-1)},7355
100,150,{(-0.7;0);(0.3;-1)},7410
100,150,{(-0.7;0);(0.3;-1)},7279
100,150,{(-0.7;0);(0.3;-1)},7214
100,150,{(-0.4;-0.5);(0.1;-1)},5326
100,150,{(-0.4;-0.5);(0.1;-1)},5305
100,150,{(-0.4;-0.5);(0.1;-1)},5479
