Scala#1,100,1,{ (-1.72;1.2) ; (1.0;-1.2) },1372
Scala#2,100,1,{ (-1.72;1.2) ; (1.0;-1.2) },832
Scala#1,100,1,{ (-0.7;0.0) ; (0.3;-1.0) },1377
Scala#2,100,1,{ (-0.7;0.0) ; (0.3;-1.0) },729
Scala#1,100,1,{ (-0.4;-0.5) ; (0.1;-1.0) },956
Scala#2,100,1,{ (-0.4;-0.5) ; (0.1;-1.0) },540
Scala#1,100,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },853
Scala#2,100,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },261
Scala#1,100,1,{ (-0.24;-0.64) ; (-0.26;-0.66) },767
Scala#2,100,1,{ (-0.24;-0.64) ; (-0.26;-0.66) },233
Scala#1,100,30,{ (-1.72;1.2) ; (1.0;-1.2) },656
Scala#2,100,30,{ (-1.72;1.2) ; (1.0;-1.2) },447
Scala#1,100,30,{ (-0.7;0.0) ; (0.3;-1.0) },789
Scala#2,100,30,{ (-0.7;0.0) ; (0.3;-1.0) },439
Scala#1,100,30,{ (-0.4;-0.5) ; (0.1;-1.0) },630
Scala#2,100,30,{ (-0.4;-0.5) ; (0.1;-1.0) },426
Scala#1,100,30,{ (-0.4;-0.6) ; (-0.2;-0.8) },622
Scala#2,100,30,{ (-0.4;-0.6) ; (-0.2;-0.8) },346
Scala#1,100,30,{ (-0.24;-0.64) ; (-0.26;-0.66) },694
Scala#2,100,30,{ (-0.24;-0.64) ; (-0.26;-0.66) },475
Scala#1,100,250,{ (-1.72;1.2) ; (1.0;-1.2) },1104
Scala#2,100,250,{ (-1.72;1.2) ; (1.0;-1.2) },832
Scala#1,100,250,{ (-0.7;0.0) ; (0.3;-1.0) },1587
Scala#2,100,250,{ (-0.7;0.0) ; (0.3;-1.0) },1360
Scala#1,100,250,{ (-0.4;-0.5) ; (0.1;-1.0) },1697
Scala#2,100,250,{ (-0.4;-0.5) ; (0.1;-1.0) },1226
Scala#1,100,250,{ (-0.4;-0.6) ; (-0.2;-0.8) },933
Scala#2,100,250,{ (-0.4;-0.6) ; (-0.2;-0.8) },657
Scala#1,100,250,{ (-0.24;-0.64) ; (-0.26;-0.66) },1133
Scala#2,100,250,{ (-0.24;-0.64) ; (-0.26;-0.66) },811
Scala#1,100,1000,{ (-1.72;1.2) ; (1.0;-1.2) },2363
Scala#2,100,1000,{ (-1.72;1.2) ; (1.0;-1.2) },2185
Scala#1,100,1000,{ (-0.7;0.0) ; (0.3;-1.0) },4557
Scala#2,100,1000,{ (-0.7;0.0) ; (0.3;-1.0) },4578
Scala#1,100,1000,{ (-0.4;-0.5) ; (0.1;-1.0) },3444
Scala#2,100,1000,{ (-0.4;-0.5) ; (0.1;-1.0) },2590
Scala#1,100,1000,{ (-0.4;-0.6) ; (-0.2;-0.8) },1840
Scala#2,100,1000,{ (-0.4;-0.6) ; (-0.2;-0.8) },1675
Scala#1,100,1000,{ (-0.24;-0.64) ; (-0.26;-0.66) },1696
Scala#2,100,1000,{ (-0.24;-0.64) ; (-0.26;-0.66) },1704
Scala#1,100,2000,{ (-1.72;1.2) ; (1.0;-1.2) },3614
Scala#2,100,2000,{ (-1.72;1.2) ; (1.0;-1.2) },3271
Scala#1,100,2000,{ (-0.7;0.0) ; (0.3;-1.0) },10915
Scala#2,100,2000,{ (-0.7;0.0) ; (0.3;-1.0) },9992
Scala#1,100,2000,{ (-0.4;-0.5) ; (0.1;-1.0) },5936
Scala#2,100,2000,{ (-0.4;-0.5) ; (0.1;-1.0) },5298
Scala#1,100,2000,{ (-0.4;-0.6) ; (-0.2;-0.8) },3603
Scala#2,100,2000,{ (-0.4;-0.6) ; (-0.2;-0.8) },2936
Scala#1,100,2000,{ (-0.24;-0.64) ; (-0.26;-0.66) },2922
Scala#2,100,2000,{ (-0.24;-0.64) ; (-0.26;-0.66) },2804
Scala#1,100,8000,{ (-1.72;1.2) ; (1.0;-1.2) },14183
Scala#2,100,8000,{ (-1.72;1.2) ; (1.0;-1.2) },12027
Scala#1,100,8000,{ (-0.7;0.0) ; (0.3;-1.0) },38778
Scala#2,100,8000,{ (-0.7;0.0) ; (0.3;-1.0) },35998
Scala#1,100,8000,{ (-0.4;-0.5) ; (0.1;-1.0) },22958
Scala#2,100,8000,{ (-0.4;-0.5) ; (0.1;-1.0) },20509
Scala#1,100,8000,{ (-0.4;-0.6) ; (-0.2;-0.8) },12624
Scala#2,100,8000,{ (-0.4;-0.6) ; (-0.2;-0.8) },11143
Scala#1,100,8000,{ (-0.24;-0.64) ; (-0.26;-0.66) },7230
Scala#2,100,8000,{ (-0.24;-0.64) ; (-0.26;-0.66) },5627
Scala#1,400,1,{ (-1.72;1.2) ; (1.0;-1.2) },1317
Scala#2,400,1,{ (-1.72;1.2) ; (1.0;-1.2) },874
Scala#1,400,1,{ (-0.7;0.0) ; (0.3;-1.0) },886
Scala#2,400,1,{ (-0.7;0.0) ; (0.3;-1.0) },1807
Scala#1,400,1,{ (-0.4;-0.5) ; (0.1;-1.0) },907
Scala#2,400,1,{ (-0.4;-0.5) ; (0.1;-1.0) },841
Scala#1,400,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },1326
Scala#2,400,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },1167
Scala#1,400,1,{ (-0.24;-0.64) ; (-0.26;-0.66) },1385
