normal,100,1,{ (-1.72;1.2) ; (1.0;-1.2) },1372
newpc,100,1,{ (-1.72;1.2) ; (1.0;-1.2) },832
normal,100,1,{ (-0.7;0.0) ; (0.3;-1.0) },1377
newpc,100,1,{ (-0.7;0.0) ; (0.3;-1.0) },729
normal,100,1,{ (-0.4;-0.5) ; (0.1;-1.0) },956
newpc,100,1,{ (-0.4;-0.5) ; (0.1;-1.0) },540
normal,100,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },853
newpc,100,1,{ (-0.4;-0.6) ; (-0.2;-0.8) },261
normal,100,1,{ (-0.24;-0.64) ; (-0.26;-0.66) },767
newpc,100,1,{ (-0.24;-0.64) ; (-0.26;-0.66) },233
normal,100,30,{ (-1.72;1.2) ; (1.0;-1.2) },656
newpc,100,30,{ (-1.72;1.2) ; (1.0;-1.2) },447
normal,100,30,{ (-0.7;0.0) ; (0.3;-1.0) },789
newpc,100,30,{ (-0.7;0.0) ; (0.3;-1.0) },439
normal,100,30,{ (-0.4;-0.5) ; (0.1;-1.0) },630
newpc,100,30,{ (-0.4;-0.5) ; (0.1;-1.0) },426
normal,100,30,{ (-0.4;-0.6) ; (-0.2;-0.8) },622
newpc,100,30,{ (-0.4;-0.6) ; (-0.2;-0.8) },346
normal,100,30,{ (-0.24;-0.64) ; (-0.26;-0.66) },694
newpc,100,30,{ (-0.24;-0.64) ; (-0.26;-0.66) },475
normal,100,250,{ (-1.72;1.2) ; (1.0;-1.2) },1104
newpc,100,250,{ (-1.72;1.2) ; (1.0;-1.2) },832
normal,100,250,{ (-0.7;0.0) ; (0.3;-1.0) },1587
newpc,100,250,{ (-0.7;0.0) ; (0.3;-1.0) },1360
normal,100,250,{ (-0.4;-0.5) ; (0.1;-1.0) },1697
newpc,100,250,{ (-0.4;-0.5) ; (0.1;-1.0) },1226
normal,100,250,{ (-0.4;-0.6) ; (-0.2;-0.8) },933
newpc,100,250,{ (-0.4;-0.6) ; (-0.2;-0.8) },657
normal,100,250,{ (-0.24;-0.64) ; (-0.26;-0.66) },1133
newpc,100,250,{ (-0.24;-0.64) ; (-0.26;-0.66) },811
normal,100,1000,{ (-1.72;1.2) ; (1.0;-1.2) },2363
newpc,100,1000,{ (-1.72;1.2) ; (1.0;-1.2) },2185
normal,100,1000,{ (-0.7;0.0) ; (0.3;-1.0) },4557
newpc,100,1000,{ (-0.7;0.0) ; (0.3;-1.0) },4578
